"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,16000,5,3,1,2,1,12,1,1,1,1,0,2,2,1,3,2,2,1,1,2,0,4,0,4,0,1,2,32032,182429.333333333,21,2,1,2,2,3,2,3,1,3,3,1
5,0,14000,4,3,1,2,2,1,1,5,3,1,0,2,2,1,0,0,0,2,0,1,1,2,2,4,0,2,0,6864,41072,11,2,1,2,1,0,0,0,0,0,0,0
8,0,0,4,2,3,1,2,9,2,1,3,1,1,2,2,1,2,0,0,1,2,1,1,2,1,3,0,1,0,5543,58580,6,1,2,2,2,0,0,0,0,0,0,0
4,0,4000,2,1,1,1,2,10,1,1,3,1,1,2,2,2,1,1,0,2,0,1,1,2,3,5,0,2,0,14532,53358,5,2,1,2,2,0,0,0,0,0,0,0
2,0,20000,3,2,1,2,2,4,1,1,3,1,0,2,1,1,2,2,2,1,1,2,0,2,2,4,0,3,0,24068,105810,39,2,1,2,1,3,2,3,2,3,3,2
5,0,30000,3,1,1,1,2,6,2,5,3,1,0,2,2,2,0,2,1,1,2,2,0,2,0,2,0,0,0,0,82351,40,1,2,2,2,3,1,0,0,2,0,0
1,12000,12000,3,2,1,1,2,8,2,3,3,1,0,2,2,1,1,1,1,1,1,2,0,2,1,3,0,1,0,2032,66096,50,2,1,2,2,3,1,3,1,3,3,3
6,0,0,2,1,6,1,2,7,2,5,3,2,0,2,2,2,0,0,0,2,0,1,1,1,0,1,0,0,0,0,22951,53,2,1,2,2,9,1,0,0,3,0,0
2,0,8000,3,3,1,1,2,2,3,5,3,1,0,2,2,2,0,1,0,2,0,2,0,3,2,5,0,3,0,13219,100083,7,2,1,2,2,0,0,0,0,0,0,0
2,0,8000,5,3,1,1,2,9,1,6,3,1,1,2,2,2,0,1,0,1,1,1,1,5,0,5,0,2,4,2032,41832,78,1,2,2,2,0,0,0,0,3,0,0
5,0,11000,4,3,1,1,2,11,1,5,3,1,0,2,2,1,0,1,0,2,0,2,0,2,2,4,0,3,0,3902,19402,12,2,2,2,2,1,1,0,0,0,0,0
2,0,8000,4,2,1,1,2,7,1,5,3,2,0,2,2,2,0,0,0,1,1,1,1,2,0,2,0,1,1,0,25000,36,1,2,2,2,0,0,0,0,3,0,0
2,0,15000,2,1,1,1,1,4,1,1,2,1,1,2,2,1,1,2,1,2,0,2,0,1,0,1,0,1,1,2288,47288,89,2,1,2,1,3,1,3,1,3,3,2
2,0,6000,2,2,1,1,2,7,1,6,3,2,1,2,2,2,0,0,0,2,0,1,1,2,0,2,0,1,1,1960,22893,65,1,2,2,2,0,0,0,0,3,0,0
5,0,11000,3,2,1,1,2,3,1,3,3,1,0,2,2,1,1,1,0,2,0,1,1,2,1,3,0,2,0,5706,100066,30,2,1,2,1,3,1,1,1,3,0,0
2,0,12000,5,4,1,2,1,9,2,5,3,1,0,2,2,1,0,2,0,1,1,2,0,2,0,2,0,1,1,1963,58659.3333333333,83,2,1,2,2,2,1,0,0,3,0,0
2,0,6000,5,2,1,1,2,8,2,3,3,2,0,2,2,2,0,1,0,2,0,2,0,2,1,3,0,1,2,10681,37181,72,2,1,2,2,1,1,0,0,3,0,0
8,0,0,5,3,3,1,2,8,2,5,3,1,1,2,2,1,0,1,0,1,1,1,1,3,0,3,0,1,1,0,73204,14,1,2,2,2,1,1,0,0,0,0,0
8,0,5000,1,1,1,0,2,12,0,6,3,2,1,2,2,2,0,1,1,2,0,2,0,1,1,2,0,1,0,2032,14832,13,2,1,2,1,1,1,0,0,0,0,0
2,0,5500,2,2,1,1,2,7,1,6,3,2,1,2,2,2,0,0,0,2,0,2,0,2,2,4,0,3,0,4730.5,27063.5,38,1,2,2,2,9,1,0,0,3,0,0
2,0,15000,4,2,1,1,2,6,2,5,3,1,2,2,2,2,1,2,1,2,0,2,0,2,0,2,0,2,0,5000,30000,63,1,2,2,2,3,1,1,1,2,0,0
